t,Heart.heart_rate_measured,Heart.cardiac_cycle_state,Heart.ecg_signal,LV.pres,LV.vol,RV.pres,RV.vol,AA.pres,AA.vol,PA.pres,PA.vol,AA.ph,AA.pco2,AA.po2
489.0005,120.60301507537679,0,0.0,63.54810945932543,0.0067136822301416795,36.33177681666781,0.008274165399630502,58.89000061833328,0.006242910633789581,32.73751823521923,0.008155151156065944,7.628024943008108,22.522289967026502,121.55054933274413
489.01049999999975,59.97001499250375,0,0.0,67.86841361622535,0.005889036180749739,38.90447111882399,0.007664061801178016,64.0210396876083,0.00644993808689462,35.968773871463405,0.008534302793801926,7.628024943008108,22.522289967026502,121.55054933274413
489.0204999999995,59.97001499250375,0,0.0,71.13888143460946,0.005157536804443006,40.26870601063182,0.00711294547720565,67.8435460314456,0.006638323898721867,37.735687352708204,0.00883410009156799,7.628024943008108,22.522289967026502,121.55054933274413
489.0304999999993,59.97001499250375,0,0.0,72.3660356516204,0.004649726849212627,40.41657517177511,0.006720773393476165,70.4873252286292,0.006740979068145667,38.52417118581667,0.008964154495403803,7.628024943008108,22.522289967026502,121.55054933274413
489.04049999999904,59.97001499250375,0,0.0,73.57533792667836,0.004280156337146279,40.20126085625251,0.006419060170449091,71.76466661331018,0.006804848386822161,38.737896737147956,0.009004683915408842,7.628024943008108,22.522289967026502,121.55054933274413
489.0504999999988,59.97001499250375,0,0.0,73.93903341684026,0.003981198916292278,39.74557710233513,0.006183271683503466,72.52810190752409,0.0068436792557606775,38.595595719320734,0.008985537155397058,7.628024943008108,22.522289967026502,121.55054933274413
489.06049999999857,59.97001499250375,0,0.0,73.89517551587402,0.0037567683141179723,39.103090763348035,0.006004010417176977,72.78406718423898,0.006857759856963068,38.17486419268544,0.008919635486932,7.628024943008108,22.522289967026502,121.55054933274413
489.07049999999833,59.97001499250375,0,0.0,73.35232745082219,0.003593812947202465,38.21668278988134,0.005869767774011966,72.59200309918009,0.006851772015191467,37.55774430967789,0.008820831671150045,7.628024943008108,22.522289967026502,121.55054933274413
489.0804999999981,59.97001499250375,0,0.0,72.56371558767869,0.0034861940818657158,37.24660458104903,0.005775453096544678,72.0762080729627,0.006828623249902195,36.78670688462084,0.008695812391771378,7.628024943008108,22.522289967026502,121.55054933274413
489.09049999999786,59.97001499250375,0,0.0,71.4311452247833,0.0034309394330170485,36.158873476274735,0.005718098641342265,71.22245898261187,0.0067893644713927425,35.883851359964126,0.008548563844551507,7.628024943008108,22.522289967026502,121.55054933274413
